,Altitude(km),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
10,250,4.6241655000000005e-11,4.62872925e-11,4.6302505e-11,4.631011125e-11,4.629642e-11,4.6302505e-11,4.6306851428571424e-11,4.631011125e-11,4.6302505e-11,4.63055475e-11,4.630803681818182e-11,4.631011125e-11,4.630484538461539e-11,4.6306851428571424e-11,4.630859e-11,4.631011125e-11,4.63060844117647e-11,4.630757583333333e-11,4.630891026315789e-11,4.6310111250000004e-11,4.630685142857143e-11,4.630803681818182e-11,4.6309119130434784e-11,4.631011125e-11,4.6307373e-11,4.630835596153846e-11,4.630926611111111e-11,4.6310111250000004e-11,4.630775068965517e-11,4.630859e-11,4.6309375161290326e-11,4.631011125e-11,4.6308036818181815e-11,4.6308768970588236e-11,4.630945928571429e-11,4.631011125e-11,4.630826108108109e-11,4.630891026315789e-11,4.630952615384615e-11,4.6310111250000004e-11,4.6308441585365855e-11,4.6309024642857144e-11,4.6309580581395354e-11,4.631011125e-11,4.630859e-11,4.6309119130434784e-11,4.630962574468085e-11,4.631011125e-11,4.630871418367347e-11,4.63091985e-11
11,260,3.5060765e-11,3.50960625e-11,3.5107828333333335e-11,3.511371125e-11,3.5103122e-11,3.5107828333333335e-11,3.511119e-11,3.511371125e-11,3.5107828333333335e-11,3.51101815e-11,3.511210681818182e-11,3.511371125e-11,3.5109638461538464e-11,3.511119e-11,3.511253466666667e-11,3.511371125e-11,3.511059676470588e-11,3.511175027777778e-11,3.5112782368421054e-11,3.511371125e-11,3.511119e-11,3.511210681818182e-11,3.511294391304348e-11,3.511371125e-11,3.51115934e-11,3.511235365384615e-11,3.511305759259259e-11,3.511371125e-11,3.511188551724138e-11,3.511253466666667e-11,3.511314193548387e-11,3.511371125e-11,3.511210681818182e-11,3.51126730882353e-11,3.5113207000000005e-11,3.511371125e-11,3.511228027027027e-11,3.5112782368421054e-11,3.511325871794872e-11,3.511371125e-11,3.5112419878048785e-11,3.5112870833333335e-11,3.5113300813953485e-11,3.511371125e-11,3.511253466666667e-11,3.511294391304348e-11,3.511333574468085e-11,3.511371125e-11,3.511263071428572e-11,3.5113005299999995e-11
12,270,2.6825135e-11,2.6852657500000002e-11,2.6861831666666666e-11,2.686641875e-11,2.6858162e-11,2.6861831666666666e-11,2.6864452857142858e-11,2.686641875e-11,2.6861831666666666e-11,2.6863666499999998e-11,2.6865167727272725e-11,2.6866418750000002e-11,2.686324307692308e-11,2.6864452857142858e-11,2.6865501333333334e-11,2.686641875e-11,2.6863990294117645e-11,2.6864889722222223e-11,2.686569447368421e-11,2.6866418750000002e-11,2.6864452857142858e-11,2.6865167727272725e-11,2.686582043478261e-11,2.6866418750000002e-11,2.68647674e-11,2.6865360192307692e-11,2.6865909074074076e-11,2.686641875e-11,2.6864995172413794e-11,2.6865501333333334e-11,2.6865974838709674e-11,2.686641875e-11,2.686516772727273e-11,2.6865609264705882e-11,2.686602557142857e-11,2.686641875e-11,2.6865302972972972e-11,2.686569447368421e-11,2.68660658974359e-11,2.6866418750000002e-11,2.686541182926829e-11,2.686576345238095e-11,2.6866098720930232e-11,2.686641875e-11,2.686550133333333e-11,2.686582043478261e-11,2.6866125957446808e-11,2.6866418750000002e-11,2.6865576224489792e-11,2.6865868300000003e-11
13,280,2.0695215e-11,2.0716822499999998e-11,2.0724025e-11,2.072762625e-11,2.0721144000000002e-11,2.0724025e-11,2.0726082857142858e-11,2.072762625e-11,2.0724025e-11,2.07254655e-11,2.072664409090909e-11,2.072762625e-11,2.0725133076923077e-11,2.0726082857142858e-11,2.0726906e-11,2.072762625e-11,2.0725719705882353e-11,2.0726425833333334e-11,2.0727057631578945e-11,2.072762625e-11,2.0726082857142858e-11,2.072664409090909e-11,2.072715652173913e-11,2.072762625e-11,2.07263298e-11,2.0726795192307693e-11,2.072722611111111e-11,2.072762625e-11,2.0726508620689658e-11,2.0726906e-11,2.0727277741935483e-11,2.072762625e-11,2.072664409090909e-11,2.072699073529412e-11,2.0727317571428573e-11,2.0727626249999997e-11,2.072675027027027e-11,2.0727057631578945e-11,2.0727349230769232e-11,2.072762625e-11,2.0726835731707317e-11,2.0727111785714286e-11,2.0727375000000002e-11,2.072762625e-11,2.0726906e-11,2.072715652173913e-11,2.0727396382978722e-11,2.072762625e-11,2.072696479591837e-11,2.07271941e-11
14,290,1.6088980000000002e-11,1.61061025e-11,1.611181e-11,1.611466375e-11,1.6109527e-11,1.611181e-11,1.6113440714285715e-11,1.611466375e-11,1.611181e-11,1.61129515e-11,1.6113885454545453e-11,1.611466375e-11,1.6112688076923077e-11,1.6113440714285715e-11,1.6114093e-11,1.611466375e-11,1.611315294117647e-11,1.61137125e-11,1.6114213157894738e-11,1.611466375e-11,1.6113440714285715e-11,1.6113885454545453e-11,1.611429152173913e-11,1.611466375e-11,1.61136364e-11,1.611400519230769e-11,1.6114346666666665e-11,1.611466375e-11,1.6113778103448277e-11,1.6114093e-11,1.611438758064516e-11,1.611466375e-11,1.6113885454545456e-11,1.6114160147058823e-11,1.6114419142857143e-11,1.6114663750000002e-11,1.611396959459459e-11,1.6114213157894738e-11,1.6114444230769228e-11,1.611466375e-11,1.611403731707317e-11,1.6114256071428572e-11,1.611446465116279e-11,1.6114663750000002e-11,1.6114093e-11,1.611429152173913e-11,1.611448159574468e-11,1.611466375e-11,1.6114139591836734e-11,1.61143213e-11
15,300,1.2597194999999998e-11,1.26108375e-11,1.2615385e-11,1.261765875e-11,1.2613566000000001e-11,1.2615385e-11,1.2616684285714285e-11,1.261765875e-11,1.2615384999999999e-11,1.2616294499999999e-11,1.2617038636363637e-11,1.261765875e-11,1.2616084615384615e-11,1.2616684285714285e-11,1.2617204e-11,1.261765875e-11,1.2616455000000001e-11,1.2616900833333333e-11,1.2617299736842105e-11,1.261765875e-11,1.2616684285714285e-11,1.2617038636363637e-11,1.2617362173913043e-11,1.261765875e-11,1.2616840199999999e-11,1.2617134038461537e-11,1.261740611111111e-11,1.2617658750000001e-11,1.2616953103448275e-11,1.2617204e-11,1.2617438709677419e-11,1.261765875e-11,1.2617038636363637e-11,1.26172575e-11,1.2617463857142857e-11,1.261765875e-11,1.2617105675675675e-11,1.2617299736842105e-11,1.2617483846153847e-11,1.261765875e-11,1.2617159634146343e-11,1.2617333928571429e-11,1.261750011627907e-11,1.261765875e-11,1.2617204e-11,1.2617362173913043e-11,1.2617513617021277e-11,1.261765875e-11,1.2617241122448979e-11,1.2617385899999999e-11
16,310,9.928602e-12,9.93950875e-12,9.943144333333333e-12,9.944962125000001e-12,9.9416901e-12,9.943144333333333e-12,9.94418307142857e-12,9.944962125000001e-12,9.943144333333333e-12,9.94387145e-12,9.944466363636363e-12,9.944962125000001e-12,9.943703653846155e-12,9.94418307142857e-12,9.944598566666665e-12,9.944962125000001e-12,9.943999764705882e-12,9.944356194444444e-12,9.944675105263157e-12,9.944962125000001e-12,9.944183071428572e-12,9.944466363636363e-12,9.94472502173913e-12,9.944962125000001e-12,9.94430772e-12,9.944542634615384e-12,9.944760148148148e-12,9.944962125e-12,9.944397982758621e-12,9.944598566666665e-12,9.94478620967742e-12,9.944962125000001e-12,9.944466363636365e-12,9.944641338235294e-12,9.944806314285714e-12,9.944962125e-12,9.944519959459458e-12,9.944675105263157e-12,9.944822294871794e-12,9.944962125000001e-12,9.944563097560976e-12,9.94470244047619e-12,9.94483530232558e-12,9.944962125e-12,9.944598566666667e-12,9.94472502173913e-12,9.94484609574468e-12,9.944962125000001e-12,9.94462824489796e-12,9.94474399e-12
17,320,7.8734205e-12,7.8822065e-12,7.885135166666666e-12,7.8865995e-12,7.8839637e-12,7.885135166666666e-12,7.88597192857143e-12,7.8865995e-12,7.885135166666666e-12,7.885720900000001e-12,7.886200136363635e-12,7.8865995e-12,7.885585730769231e-12,7.88597192857143e-12,7.886306633333334e-12,7.8865995e-12,7.885824264705883e-12,7.886111388888889e-12,7.886368289473684e-12,7.8865995e-12,7.885971928571428e-12,7.886200136363635e-12,7.8864085e-12,7.8865995e-12,7.88607234e-12,7.886261576923078e-12,7.886436796296295e-12,7.8865995e-12,7.886145051724137e-12,7.886306633333334e-12,7.88645779032258e-12,7.8865995e-12,7.886200136363637e-12,7.886341088235295e-12,7.886473985714285e-12,7.8865995e-12,7.88624331081081e-12,7.886368289473684e-12,7.88648685897436e-12,7.8865995e-12,7.886278060975609e-12,7.88639030952381e-12,7.886497337209302e-12,7.886599500000001e-12,7.886306633333334e-12,7.8864085e-12,7.886506031914894e-12,7.8865995e-12,7.886330540816327e-12,7.886423779999999e-12
18,330,6.279317499999999e-12,6.2864215e-12,6.288789499999999e-12,6.2899735e-12,6.2878423e-12,6.288789499999999e-12,6.289466071428571e-12,6.2899735e-12,6.2887895e-12,6.2892630999999996e-12,6.289650590909091e-12,6.2899735e-12,6.289153807692308e-12,6.289466071428571e-12,6.2897367e-12,6.2899735e-12,6.2893466764705875e-12,6.2895788333333334e-12,6.289786552631579e-12,6.2899735e-12,6.289466071428571e-12,6.289650590909091e-12,6.289819065217391e-12,6.2899735e-12,6.289547259999999e-12,6.289700269230769e-12,6.289841944444445e-12,6.289973499999999e-12,6.289606051724138e-12,6.2897367e-12,6.289858919354838e-12,6.2899735e-12,6.2896505909090915e-12,6.289764558823529e-12,6.289872014285714e-12,6.2899735e-12,6.2896855e-12,6.289786552631579e-12,6.289882423076923e-12,6.2899735e-12,6.289713597560975e-12,6.2898043571428575e-12,6.289890895348837e-12,6.289973499999999e-12,6.2897367e-12,6.289819065217391e-12,6.289897925531915e-12,6.2899735e-12,6.289756030612244e-12,6.289831420000001e-12
19,340,5.034495e-12,5.04026125e-12,5.042183333333334e-12,5.0431443749999996e-12,5.0414145e-12,5.042183333333334e-12,5.0427325e-12,5.0431443749999996e-12,5.042183333333334e-12,5.0425677499999995e-12,5.042882272727272e-12,5.0431443749999996e-12,5.042479038461538e-12,5.0427325e-12,5.0429521666666675e-12,5.0431443749999996e-12,5.042635588235294e-12,5.042824027777778e-12,5.042992631578947e-12,5.043144375e-12,5.042732499999999e-12,5.042882272727272e-12,5.04301902173913e-12,5.0431443749999996e-12,5.0427984e-12,5.042922596153846e-12,5.043037592592593e-12,5.0431443749999996e-12,5.042846120689655e-12,5.0429521666666675e-12,5.043051370967742e-12,5.0431443749999996e-12,5.042882272727272e-12,5.042974779411765e-12,5.043062e-12,5.043144375e-12,5.042910608108108e-12,5.042992631578947e-12,5.043070448717948e-12,5.043144375e-12,5.042933414634146e-12,5.043007083333334e-12,5.043077325581395e-12,5.043144375e-12,5.042952166666667e-12,5.04301902173913e-12,5.0430830319148936e-12,5.0431443749999996e-12,5.0429678571428575e-12,5.04302905e-12
